Stacja poczï¿½tkowa;Stacja koï¿½cowa;Przewoï¿½nik;Strona 1;Strona 2;Strona 3;Strona 4;Strona 5;Status
Gliwice;Katowice;KS;20.31;10.389;2.563;0.046;0.002;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.174;10.361;2.644;0.048;0.002;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;19.614;10.326;2.565;0.037;0.003;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.301000000000002;10.358;2.556;0.046;0.002;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.134;10.345;2.637;0.05;0.003;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.556;10.335;2.5380000000000003;0.047;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.184;10.387;2.569;0.042;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.249;10.361;2.684;0.049;0.005;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.412;10.378;2.556;0.044;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.147000000000002;10.316;2.543;0.049;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.108;10.362;2.707;0.05;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.273;10.323;2.5540000000000003;0.044;0.002;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;19.498;10.326;2.498;0.046;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.215;10.348;2.523;0.045;0.001;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;19.493000000000002;10.374;2.731;0.043000000000000003;0.0;Znaleziono po³¹czenie
Kraków;Tarnów;KML;19.419;0.77;2.2840000000000003;0.038;0.002;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.273;10.353;2.517;0.051000000000000004;0.002;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.623;10.324;3.698;0.045;0.001;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;19.569;10.319;2.61;0.043000000000000003;0.001;Znaleziono po³¹czenie
Kraków;Tarnów;KML;19.519000000000002;0.766;2.32;0.041;0.001;Znaleziono po³¹czenie
Miechów;Sêdziszów;KML;19.703;10.32;2.259;0.037;0.001;Znaleziono po³¹czenie
Gdynia-;Reda;SKM;20.015;0.77;2.5580000000000003;0.039;0.0;Znaleziono po³¹czenie
Lêbork;Wejherowo;SKM;19.609;10.274000000000001;2.489;0.052000000000000005;0.0;Znaleziono po³¹czenie
Toruñ-;Lipno;ARRIVA;19.504;10.288;2.798;0.046;0.0;Znaleziono po³¹czenie
Bydgoszcz-;Tuchola;ARRIVA;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gliwice;Katowice;KS;20.149;10.307;2.587;0.043000000000000003;0.003;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.169;10.324;2.783;0.049;0.002;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.066;10.337;2.661;0.043000000000000003;0.002;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.534;10.327;2.516;0.042;0.002;Znaleziono po³¹czenie
Gliwice;Katowice;KS;20.359;10.370000000000001;3.118;0.048;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;21.533;10.381;2.786;0.043000000000000003;0.004;Znaleziono po³¹czenie
Gliwice;Katowice;KS;21.644000000000002;10.352;2.633;0.043000000000000003;0.005;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;20.875;10.318;2.579;0.04;0.002;Znaleziono po³¹czenie
Kraków;Tarnów;KML;20.979;0.77;2.308;0.038;0.001;Znaleziono po³¹czenie
Miechów;Sêdziszów;KML;21.536;10.297;2.278;0.04;0.001;Znaleziono po³¹czenie
Gdynia-;Reda;SKM;20.789;0.0;0.0;0.0;0.0;£adowanie strony 2
Lêbork;Wejherowo;SKM;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
